time,plate_name,well_position,temperature_c,value,row_label,column_label,wavelength
,p1: Em580,D7,22.8,832570.0,D,7,470
,p1: Em580,B1,22.8,291414848.0,B,1,480
,p1: Em580,B2,22.8,592490.0,B,2,480
,p1: Em580,B3,22.8,81651016.0,B,3,480
,p1: Em580,B4,22.8,441568.0,B,4,480
,p1: Em580,B5,22.8,7472.0,B,5,480
,p1: Em580,D1,22.8,723338.0,D,1,480
,p1: Em580,D2,22.8,752207.0,D,2,480
,p1: Em580,D3,22.8,950406.0,D,3,480
,p1: Em580,D4,22.8,1922533.0,D,4,480
,p1: Em580,D5,22.8,920150.0,D,5,480
,p1: Em580,D6,22.8,813274.0,D,6,480
,p1: Em580,D7,22.8,699389.0,D,7,480
,p1: Em580,B1,22.8,300082400.0,B,1,490
,p1: Em580,B2,22.8,480119.0,B,2,490
,p1: Em580,B3,22.8,109658672.0,B,3,490
,p1: Em580,B4,22.8,364540.0,B,4,490
,p1: Em580,B5,22.8,4166.0,B,5,490
,p1: Em580,D1,22.8,618988.0,D,1,490
,p1: Em580,D2,22.8,649578.0,D,2,490
,p1: Em580,D3,22.8,808777.0,D,3,490
,p1: Em580,D4,22.8,1999910.0,D,4,490
,p1: Em580,D5,22.8,797742.0,D,5,490
,p1: Em580,D6,22.8,711844.0,D,6,490
,p1: Em580,D7,22.8,597473.0,D,7,490
,p1: Em580,B1,22.8,286808416.0,B,1,500
,p1: Em580,B2,22.8,297973.0,B,2,500
,p1: Em580,B3,22.8,164368608.0,B,3,500
,p1: Em580,B4,22.8,245472.0,B,4,500
,p1: Em580,B5,22.8,2132.0,B,5,500
,p1: Em580,D1,22.8,430165.0,D,1,500
,p1: Em580,D2,22.8,467838.0,D,2,500
,p1: Em580,D3,22.8,573892.0,D,3,500
,p1: Em580,D4,22.8,2151173.0,D,4,500
,p1: Em580,D5,22.8,585126.0,D,5,500
,p1: Em580,D6,22.8,541530.0,D,6,500
,p1: Em580,D7,22.8,431272.0,D,7,500
,p1: Em580,B1,22.8,199049168.0,B,1,510
,p1: Em580,B2,22.8,138476.0,B,2,510
,p1: Em580,B3,22.8,233143168.0,B,3,510
,p1: Em580,B4,22.8,133953.0,B,4,510
,p1: Em580,B5,22.8,1017.0,B,5,510
,p1: Em580,D1,22.8,254610.0,D,1,510
,p1: Em580,D2,22.8,304820.0,D,2,510
,p1: Em580,D3,22.8,368798.0,D,3,510
,p1: Em580,D4,22.8,1865744.0,D,4,510
,p1: Em580,D5,22.8,391551.0,D,5,510
,p1: Em580,D6,22.8,385493.0,D,6,510
,p1: Em580,D7,22.8,286531.0,D,7,510
,p1: Em580,B1,22.8,72035624.0,B,1,520
,p1: Em580,B2,22.8,79224.0,B,2,520
,p1: Em580,B3,22.8,258012768.0,B,3,520
,p1: Em580,B4,22.8,84679.0,B,4,520
,p1: Em580,B5,22.8,1465.0,B,5,520
,p1: Em580,D1,22.8,165065.0,D,1,520
,p1: Em580,D2,22.8,225791.0,D,2,520
,p1: Em580,D3,22.8,262132.0,D,3,520
,p1: Em580,D4,22.8,935272.0,D,4,520
,p1: Em580,D5,22.8,294709.0,D,5,520
,p1: Em580,D6,22.8,303418.0,D,6,520
,p1: Em580,D7,22.8,215483.0,D,7,520
,p1: Em580,B1,22.8,11693460.0,B,1,530
,p1: Em580,B2,22.8,54917.0,B,2,530
,p1: Em580,B3,22.8,296912800.0,B,3,530
,p1: Em580,B4,22.8,70834.0,B,4,530
,p1: Em580,B5,22.8,3039.0,B,5,530
,p1: Em580,D1,22.8,125244.0,D,1,530
,p1: Em580,D2,22.8,185588.0,D,2,530
,p1: Em580,D3,22.8,213635.0,D,3,530
,p1: Em580,D4,22.8,350561.0,D,4,530
,p1: Em580,D5,22.8,237449.0,D,5,530
,p1: Em580,D6,22.8,252808.0,D,6,530
,p1: Em580,D7,22.8,176698.0,D,7,530
,p1: Em580,B1,22.8,1608013.0,B,1,540
,p1: Em580,B2,22.8,47150.0,B,2,540
,p1: Em580,B3,22.8,394119904.0,B,3,540
,p1: Em580,B4,22.8,77433.0,B,4,540
,p1: Em580,B5,22.8,3981.0,B,5,540
,p1: Em580,D1,22.8,104610.0,D,1,540
,p1: Em580,D2,22.8,156218.0,D,2,540
,p1: Em580,D3,22.8,174056.0,D,3,540
,p1: Em580,D4,22.8,191602.0,D,4,540
,p1: Em580,D5,22.8,193775.0,D,5,540
,p1: Em580,D6,22.8,204338.0,D,6,540
