target,lam_p,lam_b,lam_e,trial,round,trials_avail,n_mut,d_ex,d_em,peak_err,nn_dist,logit,is_id,is_bright,scaf_err
EBFP,10.0,40.0,20.0,5,2,12,8,79.19999999999999,47.89999999999998,63.57,24.38469123840332,-0.8205,True,False,87.5
EBFP,10.0,40.0,20.0,5,3,12,9,38.5,32.30000000000001,35.39,24.877111434936523,2.8436,True,True,87.5
EBFP,10.0,40.0,20.0,6,1,12,7,53.0,44.60000000000002,48.85,25.994678497314453,-1.2743,True,False,87.5
EBFP,10.0,40.0,20.0,6,2,12,8,39.0,33.60000000000002,36.32,27.094635009765625,4.2135,True,True,87.5
EBFP,10.0,40.0,20.0,6,3,12,8,49.80000000000001,41.39999999999998,45.56,27.428403854370117,4.6034,True,True,87.5
EBFP,10.0,40.0,20.0,7,1,12,6,54.39999999999998,42.30000000000001,48.35,21.44243621826172,-3.6704,True,False,87.5
EBFP,10.0,40.0,20.0,7,2,12,8,43.60000000000002,33.89999999999998,38.74,28.272802352905273,-0.9377,True,False,87.5
EBFP,10.0,40.0,20.0,7,3,12,6,36.39999999999998,32.89999999999998,34.66,26.005508422851562,-0.1896,True,False,87.5
EBFP,10.0,40.0,20.0,8,1,12,8,41.10000000000002,30.100000000000023,35.6,24.971088409423828,4.3419,True,True,87.5
EBFP,10.0,40.0,20.0,8,2,12,6,50.80000000000001,39.19999999999999,45.01,30.756572723388672,3.3551,False,True,87.5
EBFP,10.0,40.0,20.0,8,3,12,7,52.19999999999999,46.10000000000002,49.18,27.36311149597168,-2.8848,True,False,87.5
EBFP,10.0,40.0,20.0,9,1,12,7,54.19999999999999,41.39999999999998,47.79,30.736595153808594,-3.6011,False,False,87.5
EBFP,10.0,40.0,20.0,9,2,12,7,41.39999999999998,31.80000000000001,36.57,30.3563232421875,0.9688,False,True,87.5
EBFP,10.0,40.0,20.0,9,3,12,6,40.89999999999998,32.60000000000002,36.72,28.622278213500977,-0.8155,True,False,87.5
EBFP,10.0,40.0,20.0,10,1,12,8,44.30000000000001,35.80000000000001,40.05,22.398380279541016,-1.516,True,False,87.5
EBFP,10.0,40.0,20.0,10,2,12,8,43.89999999999998,33.69999999999999,38.8,24.41827392578125,1.5305,True,True,87.5
EBFP,10.0,40.0,20.0,10,3,12,7,47.60000000000002,36.60000000000002,42.06,24.92991065979004,2.7535,True,True,87.5
EBFP,10.0,40.0,20.0,11,1,12,9,33.69999999999999,34.39999999999998,34.09,33.29256057739258,0.5994,False,True,87.5
EBFP,10.0,40.0,20.0,11,2,12,9,42.0,30.5,36.22,26.92848777770996,2.6909,True,True,87.5
EBFP,10.0,40.0,20.0,11,3,12,8,43.60000000000002,31.30000000000001,37.41,28.553150177001953,0.2132,True,True,87.5
mOrange,10.0,40.0,20.0,0,1,12,5,58.30000000000001,53.80000000000001,56.06,17.705263137817383,-4.969,True,False,57.5
mOrange,10.0,40.0,20.0,0,2,12,5,58.30000000000001,53.19999999999999,55.77,24.68585968017578,-3.9728,True,False,57.5
mOrange,10.0,40.0,20.0,0,3,12,5,57.69999999999999,53.10000000000002,55.41,24.9621639251709,-3.8234,True,False,57.5
mOrange,10.0,40.0,20.0,1,1,12,7,60.60000000000002,53.89999999999998,57.28,27.02916717529297,-2.9179,True,False,57.5
mOrange,10.0,40.0,20.0,1,2,12,5,60.10000000000002,55.39999999999998,57.73,26.127580642700195,-3.9056,True,False,57.5
mOrange,10.0,40.0,20.0,1,3,12,7,67.69999999999999,61.30000000000001,64.52,25.815860748291016,-1.4391,True,False,57.5
mOrange,10.0,40.0,20.0,2,1,12,5,56.30000000000001,53.19999999999999,54.75,18.806346893310547,-5.1343,True,False,57.5
mOrange,10.0,40.0,20.0,2,2,12,6,59.39999999999998,54.60000000000002,57.05,21.056232452392578,-3.8243,True,False,57.5
mOrange,10.0,40.0,20.0,2,3,12,7,58.5,53.60000000000002,56.06,22.906513214111328,-3.4705,True,False,57.5
mOrange,10.0,40.0,20.0,3,1,12,5,57.19999999999999,55.19999999999999,56.2,29.367225646972656,-5.148,True,False,57.5
mOrange,10.0,40.0,20.0,3,2,12,7,62.30000000000001,56.39999999999998,59.34,27.036151885986328,-3.8765,True,False,57.5
